graine,episode,recompense_cumulee,congestion_moyenne,attente_moyenne_vehicule_s,taux_changement
1,1,-4345.000000,23.072222,27.108355,0.266667
1,2,-3107.000000,16.283333,21.519824,0.244444
1,3,-4819.000000,25.772222,33.567294,0.250000
1,4,-7536.000000,40.800000,52.682927,0.266667
1,5,-4517.000000,24.116667,27.862644,0.244444
1,6,-5013.000000,26.805556,31.129032,0.261111
1,7,-3853.000000,20.405556,29.012638,0.250000
1,8,-4247.000000,22.550000,33.768719,0.261111
1,9,-11092.000000,60.622222,69.503185,0.250000
1,10,-4772.000000,25.577778,28.454883,0.233333
1,11,-2296.000000,11.755556,17.037037,0.250000
1,12,-2242.000000,11.522222,16.592000,0.233333
1,13,-2869.000000,14.983333,22.740304,0.238889
1,14,-4616.000000,24.711111,32.657856,0.233333
1,15,-3044.000000,15.888889,20.140845,0.255556
1,16,-6076.000000,32.822222,37.204030,0.233333
1,17,-2460.000000,12.711111,19.162479,0.238889
1,18,-2684.000000,13.933333,19.748031,0.244444
1,19,-5917.000000,32.072222,41.413199,0.200000
1,20,-2997.000000,15.694444,22.244094,0.238889
1,21,-9825.000000,53.583333,60.736776,0.250000
1,22,-7646.000000,41.522222,52.119944,0.238889
1,23,-4548.000000,24.311111,29.567568,0.238889
1,24,-3088.000000,16.200000,21.891892,0.238889
1,25,-3222.000000,16.944444,22.761194,0.238889
1,26,-6219.000000,33.661111,45.014859,0.222222
1,27,-3180.000000,16.688889,23.616352,0.244444
1,28,-8985.000000,48.916667,59.093960,0.250000
1,29,-3221.000000,16.961111,23.963893,0.233333
1,30,-9401.000000,51.383333,65.595745,0.211111
1,31,-6086.000000,32.900000,40.176391,0.227778
1,32,-5724.000000,30.888889,38.030096,0.227778
1,33,-8304.000000,45.177778,49.047045,0.238889
1,34,-3501.000000,18.450000,25.585516,0.250000
1,35,-4182.000000,22.344444,26.777630,0.222222
1,36,-2947.000000,15.505556,20.372263,0.216667
1,37,-5961.000000,32.161111,41.888567,0.238889
1,38,-4859.000000,26.083333,30.566406,0.227778
1,39,-8000.000000,43.533333,53.451569,0.227778
1,40,-13834.000000,75.877778,79.964871,0.244444
1,41,-11906.000000,65.188889,83.101983,0.238889
1,42,-4852.000000,26.000000,33.524355,0.238889
1,43,-2753.000000,14.361111,19.035346,0.233333
1,44,-3241.000000,17.005556,22.640533,0.250000
1,45,-3395.000000,17.950000,24.440242,0.227778
1,46,-3576.000000,18.955556,25.731523,0.227778
1,47,-12108.000000,66.400000,79.680000,0.216667
1,48,-10200.000000,55.666667,60.800971,0.250000
1,49,-5949.000000,32.094444,38.258278,0.238889
1,50,-4323.000000,23.105556,35.486348,0.227778
1,51,-2193.000000,11.250000,15.919811,0.233333
1,52,-4520.000000,24.177778,31.906158,0.233333
1,53,-3484.000000,18.466667,24.298246,0.222222
1,54,-2847.000000,15.061111,20.821813,0.188889
1,55,-3100.000000,16.333333,20.910384,0.222222
1,56,-3112.000000,16.355556,20.529986,0.233333
1,57,-3008.000000,15.800000,22.464455,0.227778
1,58,-2543.000000,13.172222,17.562963,0.238889
1,59,-2080.000000,10.644444,14.150665,0.227778
1,60,-2028.000000,10.355556,13.566230,0.227778
1,61,-4119.000000,21.861111,29.586466,0.255556
1,62,-2765.000000,14.516667,19.017467,0.211111
1,63,-2559.000000,13.350000,18.399694,0.216667
