scenario,congestion_cycle_fixe,congestion_agent_rl,attente_cycle_fixe_s,attente_agent_rl_s,changements_cycle_fixe,changements_agent_rl
1,11.755556,9.329630,15.092725,11.978126,0.166667,0.183333
2,10.277778,9.283333,13.805970,12.470149,0.166667,0.227778
3,9.933333,8.250000,13.586626,11.284195,0.166667,0.233333
4,11.416667,9.329630,14.891304,12.169082,0.166667,0.229630
5,10.072222,7.985185,13.818598,10.955285,0.166667,0.211111
6,16.300000,8.685185,19.905020,10.606061,0.166667,0.177778
7,25.033333,7.274074,30.080107,8.740543,0.166667,0.153704
8,8.916667,7.311111,13.510101,11.077441,0.166667,0.205556
9,10.977778,9.935185,13.798883,12.488361,0.166667,0.246296
10,10.400000,8.300000,14.181818,11.318182,0.166667,0.172222
11,12.194444,9.462963,15.221914,11.812298,0.166667,0.194444
12,39.511111,8.124074,45.531370,9.361929,0.166667,0.168519
13,14.033333,5.855556,19.551084,8.157895,0.166667,0.148148
14,8.844444,7.183333,13.491525,10.957627,0.166667,0.188889
15,13.777778,9.612963,18.343195,12.798323,0.166667,0.188889
16,18.722222,7.451852,23.732394,9.446009,0.166667,0.157407
17,11.538889,9.155556,15.204978,12.064422,0.166667,0.218519
18,11.205556,8.727778,14.962908,11.654303,0.166667,0.214815
19,10.061111,8.183333,13.803354,11.227134,0.166667,0.218519
20,10.838889,7.985185,15.077280,11.107676,0.166667,0.203704
21,24.827778,7.364815,29.171018,8.653177,0.166667,0.151852
22,17.533333,7.672222,22.446657,9.822191,0.166667,0.159259
23,11.005556,9.529630,14.355072,12.429952,0.166667,0.201852
24,16.638889,8.188889,20.798611,10.236111,0.166667,0.177778
25,11.900000,8.596296,15.300000,11.052381,0.166667,0.233333
26,15.700000,6.931481,20.688141,9.133724,0.166667,0.144444
27,9.700000,7.583333,13.923445,10.885167,0.166667,0.216667
28,18.088889,7.344444,22.801120,9.257703,0.166667,0.162963
29,12.894444,8.916667,16.118056,11.145833,0.166667,0.181481
30,35.161111,9.314815,40.006321,10.598399,0.166667,0.170370
31,12.588889,9.694444,15.310811,11.790541,0.166667,0.214815
32,12.427778,10.998148,14.620915,12.938998,0.166667,0.216667
33,12.666667,10.001852,15.702479,12.398990,0.166667,0.216667
34,18.833333,8.131481,23.092643,9.970481,0.166667,0.175926
35,11.911111,9.681481,14.274301,11.602308,0.166667,0.214815
36,11.738889,8.475926,15.267341,11.023603,0.166667,0.196296
37,16.716667,6.768519,22.795455,9.229798,0.166667,0.150000
38,8.461111,7.116667,13.017094,10.948718,0.166667,0.198148
39,9.711111,7.535185,13.763780,10.679790,0.166667,0.214815
40,10.727778,7.988889,14.324926,10.667656,0.166667,0.190741
41,9.483333,7.885185,14.014778,11.652983,0.166667,0.207407
42,11.350000,9.635185,14.719020,12.495197,0.166667,0.214815
43,11.600000,9.059259,14.621849,11.419234,0.166667,0.209259
44,9.838889,6.677778,15.085179,10.238501,0.166667,0.198148
45,27.977778,9.553704,32.616580,11.137737,0.166667,0.168519
46,20.188889,9.485185,23.536269,11.057858,0.166667,0.181481
47,10.872222,8.203704,14.561012,10.987103,0.166667,0.216667
48,16.038889,10.059259,19.480432,12.217724,0.166667,0.205556
